# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Fri Jul 14 08:12:49 BST 2017 [seed=1500016368217]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_armi)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
300000	-60949.23738722299	-223.4133593508102	-60725.82402787218	1.0006208760094621	1.0006208760094621	0.0761876536607414	5.544544084473443	1.7992913901023868	3.747215593555896	0.5021223473904608	3.635031390151389	0.564748689003831	1.870502621992338	1.0164486420830727	1.0243962823621597	0.6396413851427708	0.9287387725630158	-0.11131903051423343	-30275.720859954166	-30450.103167918016	14.192502149383879
310000	-60961.013747687524	-221.11415907606735	-60739.89958861146	0.9997671002694601	0.9997671002694601	0.08352958700417812	4.688333673504638	1.7992913901023868	3.516440351025461	0.47831615162480645	3.441233247271982	0.5556538008968114	1.8886923982063772	0.9335810264205082	0.9499606044830231	0.6409029760466155	0.8277577812941146	-0.005977822482385598	-30262.376931748484	-30477.52265686297	15.591079837464616
320000	-60959.09863781876	-220.97247661307586	-60738.126161205684	0.9994303816387518	0.9994303816387518	0.08284772767977558	4.733142033388368	1.8244725672165738	3.877417790656583	0.5282543217892297	3.4124210975168294	0.5503141747205929	1.8993716505588143	0.942329753493498	0.9959126617674666	0.6385411647094473	0.7529640104864005	-0.09407007217792253	-30263.409636727523	-30474.716524478157	16.174729643071302
330000	-60965.03090893136	-221.14186710972777	-60743.88904182163	0.9992859309115357	0.9992859309115357	0.08055818162904871	4.652240128835381	1.8244725672165738	3.877417790656583	0.5625030522788232	3.485758866647003	0.5694974619902526	1.8610050760194947	0.9501049936432008	0.9696652349502933	0.6423980948648729	0.719488033460913	-0.10515876604144712	-30253.7116127745	-30490.177429047133	16.234357553108456
340000	-60955.68118474898	-220.9820681517113	-60734.69911659727	1.0000536067122419	1.0000536067122419	0.08693980636869549	3.980776829292192	1.766730239922098	3.5468303369435596	0.5178628437828641	3.748731472026623	0.5732970683670449	1.8534058632659103	0.9645365115460175	0.9967471209003081	0.6362172905038219	1.0622932442666455	-0.10894883647183407	-30276.589410942473	-30458.109705654802	16.529072765080493
350000	-60953.26121835814	-221.33015670128114	-60731.931061656855	0.9994292548145964	0.9994292548145964	0.07940231655289752	4.356489135011691	1.798867432391672	3.5468303369435596	0.5178628437828641	3.748731472026623	0.5760773133238895	1.847845373352221	0.9744727879175493	1.0044858675154207	0.6326184814556733	0.8332545668671409	-0.08670468600612077	-30253.137976578906	-30478.793085077945	16.377954707515624
360000	-60954.04981184929	-220.80048529992482	-60733.24932654937	0.9994292548145964	0.9994292548145964	0.07986983221833767	4.2935431449281545	1.88794109611237	3.701293946532452	0.4919872638604187	3.3077593838601675	0.5412706154278876	1.9174587691442249	0.9314585846855002	1.0017159420137418	0.6258508828831869	0.854062377283765	-0.018706934349639798	-30258.449347080477	-30474.799979468888	16.052396543054964
370000	-60961.027211493434	-223.4550862656726	-60737.57212522776	0.9994292548145964	0.9994292548145964	0.08101645236601729	3.3422149989522167	1.7898827458747593	3.804144289604187	0.5526714826968866	3.9320478635452494	0.561713658047396	1.876572683905208	0.9090779421473095	0.9947585791905389	0.6194750748187158	0.8390224107983719	-0.08763333860406396	-30240.971570627426	-30496.600554600333	14.739949066307428
380000	-60959.475977612216	-222.6436126729194	-60736.8323649393	0.9994591322103283	0.9994591322103283	0.08510038800155709	3.789545964640613	1.845178496050014	3.867339112462921	0.5375203213925073	3.824268485934973	0.5679800560655112	1.8640398878689777	0.9476256687565003	0.9681527570000595	0.63645415679559	0.8322355803613133	-0.08857361382225691	-30248.865102236367	-30487.96726270293	15.251860943964761
390000	-60950.48614946168	-223.36484413607232	-60727.12130532561	1.0000625340035083	1.0000625340035083	0.08028180837869	3.6986924189131267	1.8554312060419724	3.7665365932568737	0.5487693435687409	4.1367535480148065	0.5659432360224251	1.8681135279551497	0.9387453446348575	0.982876542274819	0.6184577715821548	0.8424084486049322	-0.10479180941850688	-30248.34314481375	-30478.778160511854	15.050811332387784
